p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.80819048425727e-25	0.686520096144835	0.264	0.163	2.10093652365852e-21	2	LOC107446595
1.94920770571417e-25	0.416721444913266	0.604	0.482	2.26478443326929e-21	2	LOC107442270
2.09394851449226e-21	0.432372165756939	0.499	0.383	2.43295877898856e-17	2	LOC107443363
4.23751031676506e-20	0.627779324049477	0.282	0.19	4.92356323704932e-16	2	LOC107448674
5.57446853274493e-20	0.289027280376626	0.757	0.66	6.47697498819634e-16	2	LOC107452265
1.33492627257741e-19	0.288500290770727	0.757	0.662	1.55105083610769e-15	2	LOC107443910
2.20955453846346e-19	0.530489360334567	0.292	0.198	2.56728141824069e-15	2	LOC107442925
3.10700902022716e-19	0.629601349276325	0.274	0.185	3.61003378060193e-15	2	LOC107450426
4.22289225411395e-19	0.648586908398296	0.25	0.165	4.90657851005499e-15	2	LOC122268385
5.17522121564627e-19	0.528462597130258	0.284	0.191	6.0130895304594e-15	2	LOC139426036
7.31099375299157e-19	0.413515738808212	0.479	0.374	8.49464364160091e-15	2	LOC107454645
5.84717313804042e-18	0.417957065301384	0.425	0.322	6.79383046908916e-14	2	LOC107449611
3.73384824206863e-17	0.530489360334567	0.306	0.217	4.33835827245954e-13	2	LOC107449610
1.99336129444791e-16	0.352254235517371	0.533	0.435	2.31608648801903e-12	2	LOC107441566
5.47400844997904e-16	0.447745331652866	0.375	0.283	6.36025041803064e-12	2	LOC107456155
1.87792467713283e-15	0.333001387056683	0.518	0.418	2.18196068236064e-11	2	LOC107446235
7.69886907727774e-15	0.428272721504426	0.428	0.342	8.945315980889e-11	2	LOC107452612
8.68828264946582e-15	0.46193038567748	0.324	0.238	1.00949156104143e-10	2	LOC107450685
4.20328703792895e-14	0.350304855221808	0.424	0.331	4.88379920936965e-10	2	LOC107456764
4.51885595665379e-14	0.561060122132459	0.262	0.188	5.25045873603604e-10	2	LOC107456994
8.18502900274457e-14	0.376955718046003	0.418	0.331	9.51018519828892e-10	2	LOC107445296
1.0292554325029e-13	0.503728456750373	0.298	0.221	1.19589188702512e-09	2	LOC107447633
1.45702313000772e-13	0.511431626427882	0.296	0.22	1.69291517475597e-09	2	LOC107455936
2.09843613419032e-13	0.506342660977389	0.307	0.231	2.43817294431573e-09	2	LOC107455338
